first_feasible_sol,first_feasible_time,total_ban_num,objective_value,total_iter_num,total_time,cp_feasible_sol,cp_feasible_time,optimal,cp_value,cp_time
0,0.06,0,0,1,0.06,0.0,0.03,True,0.0,0.04
0,0.04,0,0,1,0.04,2.0,0.02,True,0.0,0.05
0,0.04,0,0,1,0.04,2.0,0.02,True,0.0,0.04
0,0.04,0,0,1,0.04,2.0,0.02,True,0.0,0.04
0,0.05,0,0,1,0.05,3.0,0.02,True,0.0,0.05
0,0.05,1,0,1,0.05,2.0,0.03,True,0.0,0.07
1,0.03,2,1,1,0.03,3.0,0.03,True,1.0,0.12
0,0.05,1,0,1,0.05,2.0,0.03,True,0.0,0.05
1,0.04,3,1,1,0.04,3.0,0.03,True,1.0,0.07
0,0.05,0,0,1,0.05,1.0,0.03,True,0.0,0.05
0,0.03,2,0,1,0.03,3.0,0.04,True,0.0,0.07
0,0.04,2,0,1,0.04,2.0,0.04,True,0.0,0.07
0,0.03,2,0,1,0.03,0.0,0.04,True,0.0,0.07
0,0.03,3,0,1,0.03,2.0,0.04,True,0.0,0.07
0,0.04,2,0,1,0.04,3.0,0.04,True,0.0,0.07
0,0.04,3,0,1,0.04,0.0,0.04,True,0.0,0.06
0,0.05,2,0,1,0.05,0.0,0.04,True,0.0,0.08
0,0.03,2,0,1,0.03,0.0,0.04,True,0.0,0.07
0,0.03,2,0,1,0.03,1.0,0.04,True,0.0,0.05
0,0.04,3,0,1,0.04,3.0,0.04,True,0.0,0.08
1,0.09,0,1,1,0.09,12.0,0.09,True,1.0,0.35
1,0.09,0,1,1,0.09,13.0,0.09,True,1.0,0.64
1,0.09,0,1,1,0.09,15.0,0.09,True,1.0,0.51
1,0.09,0,1,1,0.09,10.0,0.14,True,1.0,0.52
1,0.09,0,1,1,0.09,15.0,0.09,True,1.0,0.23
0,0.1,0,0,1,0.1,11.0,0.12,True,0.0,0.26
0,0.1,0,0,1,0.1,11.0,0.12,True,0.0,0.27
0,0.1,0,0,1,0.1,13.0,0.12,True,0.0,0.32
0,0.12,0,0,1,0.12,14.0,0.12,True,0.0,0.26
0,0.1,0,0,1,0.1,14.0,0.13,True,0.0,0.27
0,0.1,1,0,1,0.1,0.0,0.16,True,0.0,0.31
0,0.09,1,0,1,0.09,11.0,0.15,True,0.0,0.37
0,0.09,0,0,1,0.09,10.0,0.15,True,0.0,0.71
0,0.1,1,0,1,0.1,11.0,0.15,True,0.0,0.35
0,0.12,0,0,1,0.12,13.0,0.15,True,0.0,0.32
0,0.1,2,0,1,0.1,11.0,0.19,True,0.0,0.43
1,0.1,3,1,1,0.1,9.0,0.18,True,1.0,0.75
1,0.1,3,1,1,0.1,11.0,0.18,True,1.0,2.82
1,0.1,3,1,1,0.1,9.0,0.23,True,1.0,1.12
1,0.1,3,1,1,0.1,10.0,0.18,True,1.0,0.96
2,0.16,0,2,1,0.16,17.0,0.21,True,2.0,3.97
2,0.21,0,2,1,0.21,21.0,0.21,True,2.0,3.43
2,0.16,0,2,1,0.16,26.0,0.4,True,2.0,3.66
2,0.16,0,2,1,0.16,27.0,0.39,True,2.0,3.36
2,0.16,0,2,1,0.16,11.0,0.24,True,2.0,1.85
1,0.16,0,1,1,0.16,18.0,0.3,True,1.0,1.79
1,0.16,0,1,1,0.16,21.0,0.31,True,1.0,1.52
1,0.13,0,1,1,0.13,22.0,0.32,True,1.0,3.98
1,0.12,0,1,1,0.12,19.0,0.3,True,1.0,3.81
1,0.14,0,1,1,0.14,18.0,0.32,True,1.0,11.0
0,0.17,0,0,1,0.17,21.0,0.4,True,0.0,1.41
0,0.16,0,0,1,0.16,15.0,0.47,True,0.0,1.07
0,0.16,0,0,1,0.16,19.0,0.38,True,0.0,0.93
0,0.16,0,0,1,0.16,19.0,0.42,True,0.0,0.96
0,0.15,0,0,1,0.15,23.0,0.39,True,0.0,1.0
0,0.14,0,0,1,0.14,20.0,0.48,True,0.0,1.13
0,0.16,0,0,1,0.16,21.0,0.47,True,0.0,2.93
0,0.14,0,0,1,0.14,18.0,0.45,True,0.0,1.1
0,0.14,1,0,1,0.14,20.0,0.46,True,0.0,1.7
0,0.15,1,0,1,0.15,0.0,0.56,True,0.0,1.06
4,1.21,0,4,1,1.21,14.0,0.47,True,4.0,4.32
4,1.36,0,4,1,1.36,37.0,0.45,True,4.0,5.04
4,1.37,0,4,1,1.37,13.0,0.48,True,4.0,3.8
4,1.15,0,4,1,1.15,14.0,0.46,True,4.0,6.18
4,1.09,0,4,1,1.09,31.0,0.41,True,4.0,4.91
3,0.91,0,3,1,0.91,20.0,0.66,True,3.0,5.41
3,0.78,0,3,1,0.78,29.0,0.61,True,3.0,4.32
3,1.0,0,3,1,1.0,32.0,0.6,True,3.0,6.64
3,0.83,0,3,1,0.83,32.0,0.62,True,3.0,9.07
3,0.8,0,3,1,0.8,27.0,0.6,True,3.0,4.43
2,0.93,0,2,1,0.93,33.0,0.74,True,2.0,8.01
2,0.81,0,2,1,0.81,32.0,0.77,True,2.0,19.92
2,0.98,0,2,1,0.98,32.0,0.77,True,2.0,24.38
2,0.72,0,2,1,0.72,31.0,0.76,True,2.0,20.58
2,1.12,0,2,1,1.12,32.0,0.8,True,2.0,16.76
1,0.37,0,1,1,0.37,27.0,0.92,True,1.0,18.44
