first_feasible_sol,first_feasible_time,total_ban_num,objective_value,total_iter_num,total_time,cp_feasible_sol,cp_feasible_time,optimal,cp_value,cp_time
5,4.0,0,5,1,4.0,42.0,0.91,True,5.0,280.07
5,3.51,0,5,1,3.51,23.0,1.02,True,5.0,12.13
5,3.48,0,5,1,3.48,23.0,1.08,True,5.0,6.79
5,2.99,0,5,1,2.99,18.0,1.65,True,5.0,36.91
5,3.11,0,5,1,3.11,9.0,1.1,True,5.0,71.28
4,2.89,0,4,1,2.89,34.0,0.99,True,4.0,6.22
4,2.62,0,4,1,2.62,21.0,1.08,True,4.0,7.85
4,2.72,0,4,1,2.72,41.0,1.08,True,4.0,7.55
4,2.11,0,4,1,2.11,39.0,0.97,True,4.0,16.46
4,1.89,0,4,1,1.89,43.0,0.99,True,4.0,45.26
3,1.8,0,3,1,1.8,35.0,1.28,True,3.0,22.89
3,1.98,0,3,1,1.98,22.0,1.37,True,3.0,39.57
3,1.88,0,3,1,1.88,38.0,1.29,True,3.0,49.29
3,1.8,0,3,1,1.8,35.0,1.28,True,3.0,14.78
3,1.83,0,3,1,1.83,43.0,1.24,True,3.0,24.3
2,1.44,0,2,1,1.44,37.0,1.46,True,2.0,156.52
2,1.16,0,2,1,1.16,39.0,1.47,True,2.0,567.44
2,1.33,0,2,1,1.33,36.0,1.54,True,2.0,56.41
2,1.53,0,2,1,1.53,38.0,1.49,True,2.0,329.35
2,1.6,0,2,1,1.6,39.0,1.49,True,2.0,62.84
