first_feasible_sol,first_feasible_time,total_ban_num,objective_value,total_iter_num,total_time,cp_feasible_sol,cp_feasible_time,optimal,cp_value,cp_time
4,2.21,0,4,1,2.21,15.0,1.37,True,4.0,50.14
8,771.39,0,5,4,805.62,41.0,1.1,,5.0,3600
4,2.16,0,4,1,2.16,36.0,1.42,True,4.0,43.69
4,2.39,0,4,1,2.39,43.0,1.03,True,4.0,7.42
4,2.01,0,4,1,2.01,20.0,1.12,True,4.0,8.76
3,1.96,0,3,1,1.96,41.0,1.26,True,3.0,16.85
3,1.34,0,3,1,1.34,29.0,1.36,True,3.0,331.7
5,905.48,4,,21,3600,27.0,1.4,,5.0,3600
3,1.45,0,3,1,1.45,37.0,2.9,True,3.0,32.77
3,2.14,0,3,1,2.14,41.0,1.29,True,3.0,54.59
2,1.25,0,2,1,1.25,41.0,1.49,True,2.0,35.77
5,376.64,19,,15,3600,37.0,1.5,,4.0,3600
4,1.4,0,3,2,1.75,20.0,1.63,,3.0,3600
2,0.92,0,2,1,0.92,40.0,1.53,True,2.0,136.59
2,1.16,0,2,1,1.16,22.0,1.64,True,2.0,67.59
