first_feasible_sol,first_feasible_time,total_ban_num,objective_value,total_iter_num,total_time,cp_feasible_sol,cp_feasible_time,optimal,cp_value,cp_time
0,0.07,0,0,1,0.07,3.0,0.03,True,0.0,0.05
0,0.05,0,0,1,0.05,3.0,0.02,True,0.0,0.05
0,0.04,0,0,1,0.04,5.0,0.02,True,0.0,0.04
0,0.04,0,0,1,0.04,3.0,0.02,True,0.0,0.04
0,0.05,0,0,1,0.05,5.0,0.03,True,0.0,0.05
0,0.05,1,0,1,0.05,2.0,0.03,True,0.0,0.06
1,0.03,2,1,1,0.03,3.0,0.03,True,1.0,0.14
1,0.03,2,1,1,0.03,1.0,0.03,True,1.0,0.12
0,0.04,1,0,1,0.04,1.0,0.03,True,0.0,0.06
0,0.05,0,0,1,0.05,6.0,0.03,True,0.0,0.05
0,0.03,3,0,1,0.03,2.0,0.04,True,0.0,0.07
0,0.03,3,0,1,0.03,3.0,0.04,True,0.0,0.06
0,0.04,2,0,1,0.04,0.0,0.04,True,0.0,0.07
0,0.03,3,0,1,0.03,3.0,0.03,True,0.0,0.05
0,0.04,2,0,1,0.04,0.0,0.04,True,0.0,0.06
0,0.03,2,0,1,0.03,2.0,0.04,True,0.0,0.06
0,0.05,4,0,1,0.05,3.0,0.04,True,0.0,0.05
0,0.03,2,0,1,0.03,0.0,0.04,True,0.0,0.06
0,0.04,6,0,1,0.04,0.0,0.03,True,0.0,0.04
0,0.06,5,0,1,0.06,3.0,0.04,True,0.0,0.07
1,0.07,0,1,1,0.07,13.0,0.09,True,1.0,0.37
2,0.02,0,2,1,0.02,12.0,0.09,True,2.0,2891.31
1,0.06,0,1,1,0.06,8.0,0.14,True,1.0,1.01
1,0.05,0,1,1,0.05,11.0,0.09,True,1.0,1.38
1,0.05,0,1,1,0.05,6.0,0.1,True,1.0,1.64
0,0.08,0,0,1,0.08,14.0,0.12,True,0.0,0.28
0,0.09,0,0,1,0.09,10.0,0.13,True,0.0,0.25
0,0.09,0,0,1,0.09,5.0,0.12,True,0.0,0.26
0,0.09,0,0,1,0.09,10.0,0.12,True,0.0,0.26
0,0.1,0,0,1,0.1,15.0,0.12,True,0.0,0.28
0,0.09,1,0,1,0.09,10.0,0.15,True,0.0,0.32
1,0.08,2,1,1,0.08,8.0,0.16,True,1.0,1.18
